"case_id","Pl_type_verdict","Pl_type_judgement","Pl_type_minutes","Def_type_verdict","Def_type_judgement","Def_type_minutes","Pl_gender_verdict","Pl_gender_judgement","Def_gender_verdict","Def_gender_judgement","Number_pl_verdict","Number_pl_judgement","Number_def_verdict","Number_def_judgement","Trial_start_minutes","Trial_start_docket","Verdict_date_minutes","Verdict_date_docket","NumberofDaysinTrial","NumberofDaysinTrial_docket","Multiple_trials_note","Judge_initial_assignment","Magistrate_assignment","Judge_jury_trial_minutes","Judge_jury_trial_docket","SeatedJurySize_beg","SeatedJurySize_end","JuryPoolSize","Excused_by_court","Plaintiff_challenges","Defendant_challenges","Voir_dire_start","Voir_dire_end","Voir_dire_recess_times","Voir_dire_recess_length","Voir_dire_time","VD_extras","Deliberation_time","Deliberation_time_flag","Deliberation_days","Delib_schedule","Non_economic_damages_requested","Punitive_damages_requested","Monetary_award","Damages_itemized","Damages_sum_check","Outcome_verdict","Outcome_judgement","Outcome_docket","Verdict_note","Non_economic_damages_awarded","Punitive_damages_awarded","Percent_plaintiff_liable"
"1000309","individual","individual","individual","corporation","corporation","corporation","Female","Female",NA,NA,"1","1","1","1","03/26/2012","03/26/2012","04/05/2012","04/05/2012","9","9",NA,"Judge Philip A. Brimmer","Magistrate Judge Boyd N. Boland","Magistrate Judge Craig B. Shaffer","Magistrate Judge Craig B. Shaffer","8","8",NA,"3","3","3","09:23 AM","11:55 AM","11:00 AM to 11:09 AM; 11:52 AM to 11:55 AM",12,140,"At 9:23 AM when court resumed and jury panel was present, the following occurred before voir dire: Introduction of the court, counsel and parties, and courtroom personnel; Court's preliminary statements to the jury panel; Jurors sworn for voir dire; Fourteen jurors called to the jury box. At 11:55 AM when court resumed, eight selected jurors were addressed by court before being sworn to try the case.",212,NA,1,"Day 1: 9:31 AM to 1:03 PM, 212 min","YES","NO",0,"[{""question"":""Form B — Noneconomic losses or injuries, excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""},{""question"":""Form B — Economic losses, excluding physical impairment"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Form B — Physical impairment damages"",""amount"":{},""recipient"":""plaintiff"",""type"":""noneconomic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Document contains two verdict forms (Form A and Form B — mutually exclusive alternatives). Form A was completed: jury found plaintiff had injuries but defendant did not engage in reckless conduct, resulting in a verdict for the defendant. Form B was left blank. Damages questions were not reached.",NA,NA,NA
"1002201","individual","individual",NA,"federal agency","federal agency",NA,"Male","Male",NA,NA,"1","1","1","1","07/30/2018","07/30/2018",NA,"08/08/2018",NA,"8",NA,"Judge Lewis T. Babcock","Magistrate Judge Kathleen M. Tafoya","Chief Judge Marcia S. Krieger","Judge Christine M. Arguello",NA,"9",NA,NA,NA,NA,"09:51 AM","11:37 AM",NA,0,106,"At 9:51 AM, jury panel present and jurors sworn for voir dire before voir dire by the Court began. Jurors sworn to try the case followed by Court in recess at 11:37 AM.",NA,NA,NA,NA,"NO","NO",0,"[{""question"":""Question No. 3: Compensatory damages as a result of Postal Service's retaliatory acts"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Question No. 5: Amount to reduce Mr. Green's compensatory damages (failure to mitigate)"",""amount"":{},""recipient"":""defendant"",""type"":""economic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Jury found for defendant on both claims (Question 1: No on retaliation based on emergency placement; Question 2: No on retaliation based on constructive discharge). Questions 3-5 were skipped per instructions.",NA,NA,NA
"1002529","individual","individual","individual","city","city","city","Male","Male",NA,NA,"1","1","1","1","10/22/2012","10/22/2012","10/25/2012","10/25/2012","4","4",NA,"Judge Marcia S. Krieger","Magistrate Judge Kathleen M. Tafoya","Judge William J. Martínez","Judge William J. Martinez","8","8",NA,"2","3","3","08:52 AM","10:50 AM","10:24 AM to 10:40 AM",16,102,"At 10:41 there was a bench conference before voir dire concluded at 10:46. After voir dire concluded, challenges for cause and peremptory challenges were listed before the jury was sworn at 10:50.",158,NA,1,"Day 1: 1:00 PM to 3:38 PM, 158 min","NO","NO",0,"[{""question"":""Amount of damages caused by the hostile work environment"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Jury found no hostile work environment based on race and/or national origin (Question 1 answered No); verdict for defendant.",NA,NA,NA
"1002912","corporation","corporation","corporation","individual, corporation","individual, corporation","individual, corporation",NA,NA,"Male","Male","2","2","2","2","06/24/2013","06/24/2013","07/10/2013","07/10/2013","11","11",NA,"Judge Christine M. Arguello","Magistrate Judge Kathleen M. Tafoya","Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","40","2","3","3","09:50 AM","12:23 PM","10:48 AM to 11:01 AM",13,140,NA,236,NA,1,"Day 1: 11:33 AM to 3:29 PM, 236 min","NO","NO",0,"[{""question"":""Q22 — The Church's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q23 — Vinyl's actual damages from illegal tying, monopolization, and attempted monopolization"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q24 — Amount by which The Church could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""},{""question"":""Q25 — Amount by which Vinyl could have reduced damages by acting in commercially reasonable manner (mitigation)"",""amount"":0,""recipient"":""defendant"",""type"":""economic""}]","ok","defendant","defendant","defendant","All antitrust claims (tying per se, tying under rule of reason, monopolization, attempted monopolization) found for defendants. Jury answered 'no' to relevant antitrust market questions (Q1 and Q2), skipping tying elements questions. Monopolization and attempted monopolization claims also found for defendants. Actual damages awarded to both plaintiffs were $0. Defendants' affirmative defenses on mitigation (Q20) and rule of reason (Q21) were answered 'yes'.",NA,NA,NA
"1077","federal government, individual","federal government, individual","federal government, individual","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","4","4","03/09/2009","03/09/2009","03/18/2009","03/18/2009","7","7","Two trial sequences: first trial April 28-May 1, 2008 (4 days) on original source jurisdiction/meat certificates issue, verdict reached 5/1/2008; second trial March 9-18, 2009 (7 days) on hide export certificates, verdict reached 3/18/2009. The second trial is the final completed trial resulting in the primary judgment. Researcher should verify which trial sequence is relevant to the case outcome.","Judge Kane","Magistrate Judge Patricia A. Coan","Senior Judge John L. Kane","Judge John L. Kane","12","12",NA,"4","3","3","10:26 AM","12:03 PM","11:47 AM to 11:56 AM",9,88,"At 10:26 a.m., before voir dire begins by the Court, the jury panel had already been brought to the courtroom at 9:09 a.m., panel sworn for voir dire, members called to jury seats, preliminary instructions given, and introduction of counsel, staff, parties, and witnesses completed. At 12:03 p.m. (voir dire end/jury sworn), the peremptory challenges and list of twelve jurors called to try the case appear as untimed content immediately preceding the swearing.",532,NA,3,"Day 1: 2:54 PM to 4:50 PM, 116 min; Day 2: 4:50 PM to 4:52 PM, 2 min; Day 3: 9:00 AM to 3:54 PM, 414 min","NO","NO",NA,NA,"no itemized damages","plaintiff","plaintiff","plaintiff","Special verdict form for False Claims Act hides trial. Jury found defendants made major/significant changes to 5 hide export certificates with no replacement certificate obtained, and that 5 were changed knowingly. However, jury found 0 certificates were changed with intent to conceal/avoid/decrease obligation. No monetary damages were requested or awarded on this form — this appears to be a liability-only determination regarding certificate fraud counts.",NA,NA,NA
"1100303","corporation, individual","corporation, individual","corporation, individual","county","county","county","Male","Mixed",NA,NA,"5","5","1","2","12/18/2012","12/18/2012","12/21/2012","12/21/2012","4","4",NA,"Judge Philip A. Brimmer","Magistrate Judge Michael E. Hegarty","Judge R. Brooke Jackson","Judge R. Brooke Jackson","7","7","23","2","3","3","09:46 AM","12:21 PM","10:07 AM to 11:12 AM",65,90,"Before voir dire started at 9:46 a.m., the jury panel was brought in, preliminary remarks were made by the Court, court staff/attorneys/parties/witnesses were introduced, the jury panel was sworn for voir dire, thirteen potential jurors were seated, and preliminary instructions were given by the Court. After the jury was sworn to try the case, the Court instructed the jury before the 12:21 p.m. recess.",137,NA,1,"Day 1: 9:41 AM to 11:58 AM, 137 min","NO","NO",400004,"[{""question"":""Q4a - Money damages to St. Paul Sober Living, LLC"",""amount"":400000,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4b - Money damages to Chris Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4c - Money damages to Donald Edrington"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4d - Money damages to Adam Tipton"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q4e - Money damages to Alex Colins"",""amount"":1,""recipient"":""plaintiff"",""type"":""economic""}]","ok","plaintiff","plaintiff","plaintiff","Jury found discrimination (Q1 Yes) and retaliation for St. Paul Sober Living LLC (Q2a Yes) but not for Chris Edrington or Donald Edrington individually (Q2b and Q2c No). Defendant's conduct proximately caused damages to St. Paul Sober Living LLC only (Q3a Yes); all individual plaintiffs received nominal damages of $1.00 each.",NA,NA,NA
"1100767","individual",NA,"individual","individual",NA,"corporation","Male",NA,"Male",NA,"1",NA,"2",NA,"08/04/2014","08/04/2014",NA,"08/11/2014","6","6",NA,"Judge Richard P. Matsch",NA,"Senior District Judge Richard P. Matsch","Judge Richard P. Matsch","11",NA,NA,"5","3","3","08:40 AM","11:15 AM","10:45 AM to 11:15 AM",30,125,"At 8:31 a.m., all jurors sworn for voir dire and eighteen jurors called to the jury box, occurring before the 8:40 a.m. start of court voir dire.",NA,"one or more days had unresolvable times — verify manually",1,NA,"YES","YES",0,"[{""question"":""Question Five: Actual damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Question Six: Punitive damages awarded to Mr. Forbes"",""amount"":{},""recipient"":""plaintiff"",""type"":""punitive""}]","verify — one or more line items had no amount","defendant",NA,"settlement","Verdict in favor of both defendants on all claims: unlawful arrest (Q1), excessive force (Q2), willful and wanton negligence (Q3), and outrageous conduct (Q4). Questions 5 and 6 (damages) were not reached.",NA,NA,NA
"1100874","individual","individual",NA,"corporation","corporation",NA,"Male","Male",NA,NA,"1","1","1","1",NA,"07/30/2012",NA,"08/03/2012",NA,"5",NA,"Judge Walker D. Miller","Magistrate Judge Michael J. Watanabe",NA,"Judge Christine M. Arguello",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO",0,"[{""question"":""Q7 - Back pay (lost wages) for national origin discrimination or retaliation claims"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q8 - Actual damages including back pay for implied contract breach (Q4b and Q5 yes)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""},{""question"":""Q9 - Actual damages including back pay for handbook policy claim (Q4c yes, Q4b no)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Jury found no national origin discrimination (Q1: No) and no retaliation (Q3: No). Found plaintiff was at-will employee (Q4a: Yes), no implied contract (Q4b: No), no handbook policy commitment (Q4c: No). Found defendant would have terminated plaintiff for unauthorized tape recording (Q6: Yes). No damages awarded.",NA,NA,NA
"1101765","individual, corporation","individual, corporation","individual, corporation","corporation","corporation","corporation","Male","Male",NA,NA,"2","2","1","1","08/04/2014","08/04/2014","08/12/2014","08/12/2014","7","7",NA,"Judge Robert E. Blackburn","Magistrate Judge Boyd N. Boland","Judge Robert E. Blackburn","Judge Robert E. Blackburn","9","9",NA,"1","3","3","9:36 AM","11:35 AM","10:24 AM to 10:37 AM",13,106,"At 9:10 a.m. jury panel is present with 15 jurors seated in the jury box; at 9:12 a.m. civil voir dire oath given to jury panel; opening statements by the court; at 9:15 a.m. Mr. Bradford introduces himself, Mr. Clayden, the plaintiff, interpreter, and paralegal; at 9:16 a.m. Mr. Jablonski introduces himself, the company representative, paralegal, and witnesses; at 9:17 a.m. court introduces court staff; further statements by the court — all preceding the start of voir dire at 9:36 a.m.",183,NA,2,"Day 1: 5:21 PM to 5:21 PM, 0 min; Day 2: 8:30 AM to 11:33 AM, 183 min","NO","NO",0,"[{""question"":""Damages for infringement of the '780 Patent (Question 4)"",""amount"":{},""recipient"":""plaintiff"",""type"":""economic""}]","verify — one or more line items had no amount","defendant","defendant","defendant","Jury found infringement of the '780 Patent only as to the Alpena Head 'N' Grill product (Yes), but not as to the Alpena LEDLitz or Alpena MOTION. Jury found no willful infringement. Jury found patent invalid due to anticipation (Question 3: Yes), which per the form instructions ended deliberations before damages were assessed. No damages were awarded.",NA,NA,NA
"1101934","individual","individual","individual","corporation","corporation","corporation","Male","Male",NA,NA,"1","1","1","1","08/13/2012","08/13/2012","08/16/2012","08/16/2012","4","4",NA,"Judge David M. Ebel","Magistrate Judge Boyd N. Boland","Circuit Judge David M. Ebel","Judge David M. Ebel","7","7",NA,"2","3","3","09:11 AM","10:55 AM",NA,0,104,"At 9:11 a.m. court in session, jury panel present, preliminary instruction to the jury panel, and panel sworn for voir dire occurred before voir dire formally began. At 10:55 a.m. the jury was sworn; prior untimed content includes listing of seven juror IDs and peremptory challenges.",217,NA,1,"Day 1: 10:33 AM to 2:10 PM, 217 min","NO","NO",325000,"[{""question"":""Damages awarded against Defendant American Family Insurance"",""amount"":325000,""recipient"":""plaintiff"",""type"":""null""}]","ok","plaintiff","plaintiff","plaintiff",NA,NA,NA,NA
